p1_index,p1_pattern,p2_index,p2_pattern,deck_count,score_hn_tricks_p1_wins,score_hn_tricks_p2_wins,score_hn_tricks_draws,score_hn_cards_p1_wins,score_hn_cards_p2_wins,score_hn_cards_draws
0,000,1,001,1000,370,475,155,446,535,19
0,000,2,010,1000,211,676,113,258,722,20
0,000,3,011,1000,108,760,132,175,805,20
0,000,4,100,1000,0,999,1,0,1000,0
0,000,5,101,1000,184,687,129,241,739,20
0,000,6,110,1000,8,962,30,7,991,2
0,000,7,111,1000,302,328,370,479,483,38
1,001,0,000,1000,475,370,155,535,446,19
1,001,2,010,1000,809,111,80,857,133,10
1,001,3,011,1000,905,37,58,963,28,9
1,001,4,100,1000,15,954,31,1,999,0
1,001,5,101,1000,816,96,88,926,66,8
1,001,6,110,1000,454,370,176,522,449,29
1,001,7,111,1000,974,7,19,992,5,3
2,010,0,000,1000,676,211,113,722,258,20
2,010,1,001,1000,111,809,80,133,857,10
2,010,3,011,1000,424,422,154,476,497,27
2,010,4,100,1000,410,447,143,419,567,14
2,010,5,101,1000,432,383,185,505,472,23
2,010,6,110,1000,125,783,92,74,914,12
2,010,7,111,1000,701,160,139,765,215,20
3,011,0,000,1000,760,108,132,805,175,20
3,011,1,001,1000,37,905,58,28,963,9
3,011,2,010,1000,422,424,154,497,476,27
3,011,4,100,1000,395,451,154,465,511,24
3,011,5,101,1000,442,427,131,557,422,21
3,011,6,110,1000,943,22,35,999,0,1
3,011,7,111,1000,995,1,4,1000,0,0
4,100,0,000,1000,999,0,1,1000,0,0
4,100,1,001,1000,954,15,31,999,1,0
4,100,2,010,1000,447,410,143,567,419,14
4,100,3,011,1000,451,395,154,511,465,24
4,100,5,101,1000,469,407,124,500,477,23
4,100,6,110,1000,47,875,78,35,963,2
4,100,7,111,1000,798,100,102,827,149,24
5,101,0,000,1000,687,184,129,739,241,20
5,101,1,001,1000,96,816,88,66,926,8
5,101,2,010,1000,383,432,185,472,505,23
5,101,3,011,1000,427,442,131,422,557,21
5,101,4,100,1000,407,469,124,477,500,23
5,101,6,110,1000,98,812,90,121,864,15
5,101,7,111,1000,660,233,107,718,268,14
6,110,0,000,1000,962,8,30,991,7,2
6,110,1,001,1000,370,454,176,449,522,29
6,110,2,010,1000,783,125,92,914,74,12
6,110,3,011,1000,22,943,35,0,999,1
6,110,4,100,1000,875,47,78,963,35,2
6,110,5,101,1000,812,98,90,864,121,15
6,110,7,111,1000,452,404,144,531,454,15
7,111,0,000,1000,328,302,370,483,479,38
7,111,1,001,1000,7,974,19,5,992,3
7,111,2,010,1000,160,701,139,215,765,20
7,111,3,011,1000,1,995,4,0,1000,0
7,111,4,100,1000,100,798,102,149,827,24
7,111,5,101,1000,233,660,107,268,718,14
7,111,6,110,1000,404,452,144,454,531,15
